test,epyc_vm,macbookpro_2018,macmini_m1_2021,stat3_vm
matrix_cal - cross_product,0.111,0.119,0.162,0.133
matrix_cal - lm,0.017,0.018,0.039,0.02
matrix_cal - manip,0.461,0.614,0.267,0.648
matrix_cal - power,0.237,0.134,0.105,0.133
matrix_cal - sort,0.711,0.576,0.603,0.608
matrix_fun - cholesky,0.167,0.193,0.246,0.197
matrix_fun - determinant,0.105,0.134,0.433,0.161
matrix_fun - eigen,0.24,0.363,0.885,0.369
matrix_fun - fft,0.152,0.215,0.097,0.278
matrix_fun - inverse,0.095,0.181,0.388,0.189
prog - escoufier,0.803,0.748,0.392,0.784
prog - fib,0.178,0.179,0.114,0.224
prog - gcd,0.497,0.656,0.335,0.741
prog - hilbert,0.246,0.305,0.158,0.304
prog - toeplitz,1.634,1.074,0.594,1.049
