,user,system,elapsed,test,test_group,cores
1,0.244,0.01,0.254,fib,prog,0
2,0.131,0.008,0.14,fib,prog,0
3,0.127,0.012,0.14,fib,prog,0
4,0.538,0.02,0.559,gcd,prog,0
5,0.53,0,0.529,gcd,prog,0
6,0.403,0,0.404,gcd,prog,0
7,0.241,0.039,0.281,hilbert,prog,0
8,0.243,0.045,0.287,hilbert,prog,0
9,0.13,0.041,0.171,hilbert,prog,0
10,1.644,0.005,1.649,toeplitz,prog,0
11,1.626,0,1.626,toeplitz,prog,0
12,1.627,0,1.627,toeplitz,prog,0
13,0.794,0.041,0.835,escoufier,prog,0
14,0.786,0,0.785,escoufier,prog,0
15,0.788,0,0.788,escoufier,prog,0
16,0.484,0.043,0.527,manip,matrix_cal,0
17,0.496,0.042,0.538,manip,matrix_cal,0
18,0.282,0.037,0.319,manip,matrix_cal,0
19,0.226,0.011,0.237,power,matrix_cal,0
20,0.232,0.004,0.237,power,matrix_cal,0
21,0.224,0.013,0.236,power,matrix_cal,0
22,0.697,0.013,0.711,sort,matrix_cal,0
23,0.698,0.013,0.712,sort,matrix_cal,0
24,0.699,0.01,0.709,sort,matrix_cal,0
25,0.365,0.065,0.112,cross_product,matrix_cal,0
26,0.364,0.067,0.111,cross_product,matrix_cal,0
27,0.35,0.078,0.11,cross_product,matrix_cal,0
28,0.067,0.01,0.021,lm,matrix_cal,0
29,0.041,0.016,0.015,lm,matrix_cal,0
30,0.043,0.014,0.015,lm,matrix_cal,0
31,0.428,0.055,0.256,cholesky,matrix_fun,0
32,0.299,0.066,0.13,cholesky,matrix_fun,0
33,0.245,0.069,0.114,cholesky,matrix_fun,0
34,0.333,0.014,0.108,determinant,matrix_fun,0
35,0.329,0.013,0.105,determinant,matrix_fun,0
36,0.327,0.014,0.103,determinant,matrix_fun,0
37,0.873,0.028,0.235,eigen,matrix_fun,0
38,0.918,0.021,0.247,eigen,matrix_fun,0
39,0.889,0.028,0.239,eigen,matrix_fun,0
40,0.142,0.011,0.153,fft,matrix_fun,0
41,0.142,0.008,0.15,fft,matrix_fun,0
42,0.144,0.008,0.152,fft,matrix_fun,0
43,0.33,0.008,0.102,inverse,matrix_fun,0
44,0.326,0,0.092,inverse,matrix_fun,0
45,0.325,0.001,0.09,inverse,matrix_fun,0
